year,round,driverId,lap,time,milliseconds
2011,1,153,1,17:05:23,26898
2011,1,30,1,17:05:52,25021
2011,1,17,11,17:20:48,23426
2011,1,4,12,17:22:34,23251
2011,1,13,13,17:24:10,23842
2011,1,22,13,17:24:29,23643
2011,1,20,14,17:25:17,22603
2011,1,814,14,17:26:03,24863
2011,1,816,14,17:26:50,25259
2011,1,67,15,17:27:34,25342
2011,1,2,15,17:27:41,22994
2011,1,1,16,17:28:24,23227
2011,1,808,16,17:28:39,24535
2011,1,3,16,17:29:00,23716
2011,1,155,16,17:29:06,24064
2011,1,16,16,17:29:08,25978
2011,1,15,16,17:29:49,24899
2011,1,18,17,17:30:24,16867
2011,1,153,17,17:31:06,24463
2011,1,5,17,17:31:11,24865
2011,1,30,17,17:32:08,23988
2011,1,10,18,17:33:02,23792
2011,1,18,19,17:33:53,23303
2011,1,815,23,17:40:27,23438
2011,1,22,23,17:40:45,37856
2011,1,17,26,17:44:29,22520
2011,1,4,27,17:46:04,24733
2011,1,22,28,17:49:07,16892
2011,1,67,29,17:49:47,23100
2011,1,2,30,17:51:32,25098
2011,1,13,31,17:52:28,24500
2011,1,155,32,17:54:21,24192
2011,1,20,36,17:59:17,24036
2011,1,1,36,17:59:29,23199
2011,1,153,35,17:59:45,26348
2011,1,808,36,17:59:47,25683
2011,1,814,36,18:00:48,24332
2011,1,18,37,18:01:49,22681
2011,1,16,37,18:02:15,23871
2011,1,15,37,18:03:55,24848
2011,1,816,38,18:06:53,26446
2011,1,17,41,18:07:37,26230
2011,1,22,40,18:08:03,26309
2011,1,4,42,18:09:08,24181
2011,1,13,48,18:18:54,24095
2011,2,16,3,16:09:07,31694
2011,2,22,3,16:10:04,32978
2011,2,17,10,16:21:21,22572
2011,2,814,11,16:23:16,22773
2011,2,1,12,16:24:40,22552
2011,2,20,13,16:26:17,23019
2011,2,2,13,16:26:28,23900
2011,2,18,13,16:26:29,22400
2011,2,13,13,16:26:30,29224
2011,2,15,13,16:27:03,25516
2011,2,4,14,16:28:15,23152
2011,2,30,14,16:28:34,22576
2011,2,808,15,16:30:10,23182
2011,2,67,15,16:30:23,23280
2011,2,3,15,16:30:37,24967
2011,2,5,15,16:30:37,29084
2011,2,153,16,16:32:25,23584
2011,2,16,16,16:32:31,22046
2011,2,155,17,16:33:53,23280
2011,2,815,17,16:34:14,23597
2011,2,10,17,16:34:28,24617
2011,2,816,17,16:34:39,26252
2011,2,24,17,16:34:56,27815
2011,2,22,17,16:35:41,24502
2011,2,67,20,16:39:30,29843
2011,2,17,22,16:42:37,21991
2011,2,18,23,16:44:11,22471
2011,2,1,24,16:45:48,22611
2011,2,814,24,16:46:20,22419
2011,2,20,25,16:47:27,21893
2011,2,4,26,16:49:19,23894
2011,2,2,26,16:49:31,23221
2011,2,13,27,16:51:17,22541
2011,2,808,27,16:51:25,22680
2011,2,30,28,16:53:26,22261
2011,2,3,29,16:55:28,22577
2011,2,17,32,17:00:01,22069
2011,2,153,32,17:00:55,22888
2011,2,16,32,17:00:56,22550
2011,2,67,32,17:01:03,27439
2011,2,5,34,17:04:41,23336
2011,2,10,34,17:05:19,24429
2011,2,816,35,17:07:20,24416
2011,2,155,36,17:07:26,23442
2011,2,1,37,17:08:28,25382
2011,2,814,37,17:09:21,23977
2011,2,18,38,17:10:13,22483
2011,2,13,38,17:10:28,22893
2011,2,2,39,17:12:09,22602
2011,2,24,38,17:13:32,26554
2011,2,3,40,17:15:05,22526
2011,2,20,41,17:15:08,22313
2011,2,4,41,17:15:25,23812
2011,2,30,42,17:18:08,22227
2011,2,17,43,17:19:10,22161
2011,2,808,44,17:21:08,28694
2011,2,4,46,17:24:24,27182
2011,2,24,44,17:25:07,38823
2011,2,1,52,17:34:48,22466
2011,3,153,9,15:19:36,22419
2011,3,24,9,15:20:00,14160
2011,3,30,10,15:21:12,20522
2011,3,17,10,15:21:27,23442
2011,3,813,10,15:21:35,23160
2011,3,814,11,15:22:57,21989
2011,3,3,12,15:24:32,20771
2011,3,67,12,15:24:56,22010
2011,3,18,14,15:27:59,23779
2011,3,20,14,15:28:00,21995
2011,3,155,14,15:28:17,21855
2011,3,13,15,15:29:47,21624
2011,3,1,15,15:29:49,20878
2011,3,16,15,15:30:01,20989
2011,3,4,16,15:31:34,22524
2011,3,815,16,15:31:55,21473
2011,3,22,16,15:32:01,21709
2011,3,67,16,15:32:19,24722
2011,3,10,16,15:32:33,22683
2011,3,808,17,15:33:36,21981
2011,3,2,18,15:35:28,22216
2011,3,5,19,15:37:31,22485
2011,3,15,20,15:39:24,23029
2011,3,816,20,15:39:50,22901
2011,3,24,21,15:42:05,24467
2011,3,39,23,15:45:28,26049
2011,3,18,24,15:45:35,20758
2011,3,3,25,15:47:13,22005
2011,3,1,25,15:47:20,20533
2011,3,17,25,15:47:44,21132
2011,3,813,25,15:48:09,22062
2011,3,30,26,15:49:15,21964
2011,3,10,28,15:54:22,21908
2011,3,16,30,15:56:26,21058
2011,3,155,30,15:56:28,21936
2011,3,2,30,15:56:29,21821
2011,3,20,31,15:57:37,21533
2011,3,4,32,15:59:39,21251
2011,3,814,32,15:59:51,21218
2011,3,13,33,16:01:04,21168
2011,3,67,33,16:02:13,21928
2011,3,816,34,16:05:10,22802
2011,3,22,35,16:05:24,21481
2011,3,815,36,16:06:55,23397
2011,3,18,37,16:08:00,21237
2011,3,808,37,16:08:34,22005
2011,3,1,38,16:09:38,20567
2011,3,3,39,16:11:19,20720
2011,3,30,39,16:11:49,21400
2011,3,17,40,16:13:29,21091
2011,3,10,39,16:14:17,33827
2011,3,5,40,16:14:27,21890
2011,3,813,40,16:14:36,27620
2011,3,15,42,16:18:14,22260
2011,3,24,45,16:25:39,23499
2011,3,16,47,16:26:24,28708
2011,3,815,48,16:28:01,13900
2011,3,815,50,16:31:39,28845
2011,4,815,1,15:05:18,29270
2011,4,30,2,15:06:35,30182
2011,4,808,8,15:16:06,21422
2011,4,13,9,15:17:37,22022
2011,4,1,9,15:17:38,20833
2011,4,67,9,15:17:47,21769
2011,4,17,10,15:19:04,21050
2011,4,4,10,15:19:05,21308
2011,4,3,10,15:19:09,22573
2011,4,2,10,15:19:16,22300
2011,4,22,10,15:19:20,22717
2011,4,16,10,15:19:22,21649
2011,4,20,11,15:20:32,20623
2011,4,814,11,15:21:00,20775
2011,4,813,11,15:21:09,23881
2011,4,18,13,15:23:57,21368
2011,4,155,13,15:24:09,21820
2011,4,153,13,15:24:25,22713
2011,4,15,13,15:24:28,23066
2011,4,30,14,15:26:02,20907
2011,4,39,14,15:26:26,27353
2011,4,5,15,15:27:42,22854
2011,4,24,15,15:28:03,24634
2011,4,815,16,15:29:30,22895
2011,4,816,16,15:29:37,22779
2011,4,24,16,15:30:57,56611
2011,4,808,19,15:33:42,21323
2011,4,1,20,15:35:09,21075
2011,4,17,21,15:36:27,20421
2011,4,3,22,15:38:24,20927
2011,4,2,22,15:38:25,21919
2011,4,4,23,15:39:35,21732
