round,driverId,q1,q2,q3,year
1,1,1:26.572,1:25.187,1:26.714,2008
1,9,1:26.103,1:25.315,1:26.869,2008
1,5,1:25.664,1:25.452,1:27.079,2008
1,13,1:25.994,1:25.691,1:27.178,2008
1,2,1:25.960,1:25.518,1:27.236,2008
1,15,1:26.427,1:26.101,1:28.527,2008
1,3,1:26.295,1:26.059,1:28.687,2008
1,14,1:26.381,1:26.063,1:29.041,2008
1,10,1:26.919,1:26.164,1:29.593,2008
1,20,1:26.702,1:25.842,,2008
1,22,1:26.369,1:26.173,,2008
1,4,1:26.907,1:26.188,,2008
1,18,1:26.712,1:26.259,,2008
1,6,1:26.891,1:26.413,,2008
1,17,1:26.914,,,2008
1,8,1:26.140,,,2008
1,21,1:27.207,,,2008
1,7,1:27.446,,,2008
1,16,1:27.859,,,2008
1,11,1:28.208,,,2008
1,12,1:28.330,,,2008
1,19,1:29.059,,,2008
2,13,1:35.347,1:34.412,1:35.748,2008
2,8,1:35.645,1:34.188,1:36.230,2008
2,5,1:35.227,1:34.759,1:36.613,2008
2,1,1:35.392,1:34.627,1:36.709,2008
2,15,1:35.205,1:34.960,1:36.711,2008
2,9,1:35.794,1:34.811,1:36.727,2008
2,2,1:35.729,1:34.648,1:36.753,2008
2,17,1:35.440,1:34.967,1:37.009,2008
2,4,1:35.983,1:35.140,1:38.450,2008
2,10,1:35.891,1:35.000,1:39.656,2008
2,18,1:35.847,1:35.208,,2008
2,14,1:36.058,1:35.408,,2008
2,12,1:36.074,1:35.562,,2008
2,22,1:36.198,1:35.622,,2008
2,20,1:36.111,1:35.648,,2008
2,3,1:35.843,1:35.670,,2008
2,21,1:36.240,,,2008
2,6,1:36.388,,,2008
2,7,1:36.677,,,2008
2,11,1:37.087,,,2008
2,16,1:37.101,,,2008
2,19,1:37.481,,,2008
3,9,1:32.893,1:31.745,1:33.096,2008
3,13,1:31.937,1:31.188,1:33.123,2008
3,1,1:32.750,1:31.922,1:33.292,2008
3,8,1:32.652,1:31.933,1:33.418,2008
3,5,1:33.057,1:31.718,1:33.488,2008
3,2,1:33.137,1:31.909,1:33.737,2008
3,15,1:32.493,1:32.159,1:33.994,2008
3,3,1:32.903,1:32.185,1:34.015,2008
3,18,1:32.793,1:32.362,1:35.057,2008
3,4,1:32.947,1:32.345,1:35.115,2008
3,17,1:33.194,1:32.371,,2008
3,22,1:32.944,1:32.508,,2008
3,10,1:32.800,1:32.528,,2008
3,12,1:32.975,1:32.790,,2008
3,7,1:33.415,1:32.915,,2008
3,6,1:33.386,1:32.943,,2008
3,14,1:33.433,,,2008
3,21,1:33.501,,,2008
3,20,1:33.562,,,2008
3,16,1:33.845,,,2008
3,19,1:34.140,,,2008
3,11,1:35.725,,,2008
4,8,1:20.701,1:20.784,1:21.813,2008
4,4,1:21.347,1:20.804,1:21.904,2008
4,13,1:21.528,1:20.584,1:22.058,2008
4,9,1:21.423,1:20.597,1:22.065,2008
4,1,1:21.366,1:20.825,1:22.096,2008
4,5,1:21.430,1:20.817,1:22.231,2008
4,17,1:21.494,1:20.984,1:22.429,2008
4,15,1:21.158,1:20.907,1:22.529,2008
4,2,1:21.466,1:20.815,1:22.542,2008
4,12,1:21.409,1:20.894,1:22.699,2008
4,22,1:21.548,1:21.049,,2008
4,6,1:21.690,1:21.117,,2008
4,18,1:21.757,1:21.211,,2008
4,10,1:21.427,1:21.230,,2008
4,3,1:21.472,1:21.349,,2008
4,7,1:21.540,1:21.724,,2008
4,14,1:21.810,,,2008
4,20,1:22.108,,,2008
4,21,1:22.516,,,2008
4,16,1:23.224,,,2008
4,19,1:23.318,,,2008
4,11,1:23.496,,,2008
5,13,1:25.994,1:26.192,1:27.617,2008
5,5,1:26.736,1:26.290,1:27.808,2008
5,1,1:26.192,1:26.477,1:27.923,2008
5,8,1:26.457,1:26.050,1:27.936,2008
5,9,1:26.761,1:26.129,1:28.390,2008
5,17,1:26.773,1:26.466,1:28.417,2008
5,4,1:26.836,1:26.522,1:28.422,2008
5,15,1:26.695,1:26.822,1:28.836,2008
5,2,1:27.107,1:27.607,1:28.882,2008
5,14,1:26.939,1:26.520,1:29.959,2008
5,3,1:27.367,1:27.012,,2008
5,22,1:27.355,1:27.219,,2008
5,18,1:27.428,1:27.298,,2008
5,20,1:27.442,1:27.412,,2008
5,10,1:26.614,1:27.806,,2008
5,6,1:27.547,,,2008
5,12,1:27.568,,,2008
5,7,1:27.621,,,2008
5,21,1:27.807,,,2008
5,16,1:28.325,,,2008
6,13,1:15.190,1:15.110,1:15.787,2008
6,8,1:15.717,1:15.404,1:15.815,2008
6,1,1:15.582,1:15.322,1:15.839,2008
6,5,1:15.295,1:15.389,1:16.165,2008
6,9,1:15.977,1:15.483,1:16.171,2008
6,3,1:15.935,1:15.287,1:16.548,2008
6,4,1:16.646,1:15.827,1:16.852,2008
6,15,1:16.306,1:15.598,1:17.203,2008
6,17,1:16.074,1:15.745,1:17.343,2008
6,14,1:16.086,1:15.839,,2008
6,10,1:16.285,1:15.907,,2008
6,18,1:16.259,1:16.101,,2008
6,2,1:16.650,1:16.455,,2008
6,6,1:16.756,1:16.479,,2008
6,22,1:16.208,1:16.537,,2008
6,7,1:16.806,,,2008
6,12,1:16.933,,,2008
6,20,1:16.955,,,2008
6,16,1:17.225,,,2008
6,21,1:17.823,,,2008
7,1,1:16.909,1:17.034,1:17.886,2008
7,9,1:17.471,1:17.679,1:18.498,2008
7,8,1:17.301,1:17.364,1:18.735,2008
7,4,1:17.415,1:17.488,1:18.746,2008
7,3,1:17.991,1:17.891,1:18.844,2008
7,13,1:17.231,1:17.353,1:19.048,2008
7,5,1:17.287,1:17.684,1:19.089,2008
7,2,1:18.082,1:17.781,1:19.633,2008
7,22,1:18.256,1:18.020,1:20.848,2008
7,17,1:17.582,1:17.523,,2008
7,10,1:18.321,1:18.031,,2008
7,6,1:17.638,1:18.062,,2008
7,14,1:18.168,1:18.238,,2008
7,15,1:18.039,1:18.327,,2008
7,12,1:18.505,1:18.393,,2008
7,7,1:18.916,,,2008
7,16,1:19.108,,,2008
7,21,1:19.165,,,2008
7,18,1:23.565,,,2008
7,20,,,,2008
8,8,1:15.133,1:15.161,1:16.449,2008
8,13,1:15.024,1:15.041,1:16.490,2008
8,1,1:15.634,1:15.293,1:16.693,2008
8,4,1:15.754,1:15.483,1:16.840,2008
8,15,1:15.521,1:15.362,1:16.920,2008
8,5,1:15.965,1:15.639,1:16.944,2008
8,9,1:15.687,1:15.723,1:17.037,2008
8,17,1:16.020,1:15.488,1:17.233,2008
8,14,1:15.802,1:15.654,1:17.426,2008
8,10,1:15.727,1:15.558,1:17.596,2008
8,12,1:15.848,1:15.770,,2008
8,2,1:16.006,1:15.786,,2008
8,20,1:15.918,1:15.816,,2008
8,7,1:16.072,1:16.045,,2008
8,3,1:16.085,1:16.235,,2008
8,6,1:16.243,,,2008
8,18,1:16.306,,,2008
8,22,1:16.330,,,2008
8,21,1:16.971,,,2008
8,16,1:17.053,,,2008
9,5,1:19.957,1:19.597,1:21.049,2008
9,17,1:20.982,1:19.710,1:21.554,2008
9,8,1:20.370,1:19.971,1:21.706,2008
9,1,1:20.288,1:19.537,1:21.835,2008
9,2,1:21.022,1:19.802,1:21.873,2008
9,4,1:20.998,1:19.992,1:22.029,2008
9,12,1:20.818,1:20.115,1:22.491,2008
9,20,1:20.318,1:20.109,1:23.251,2008
9,13,1:20.676,1:20.086,1:23.305,2008
9,9,1:20.444,1:19.788,,2008
9,14,1:21.224,1:20.174,,2008
9,10,1:20.893,1:20.274,,2008
9,7,1:20.584,1:20.531,,2008
9,15,1:21.145,1:20.601,,2008
9,6,1:21.407,1:21.112,,2008
9,22,1:21.512,,,2008
9,18,1:21.631,,,2008
