round,circuitId,date,time,fp1_date,fp1_time,quali_date,quali_time,year
1,1,2009-03-29,06:00:00,,,,,2009
2,2,2009-04-05,09:00:00,,,,,2009
3,17,2009-04-19,07:00:00,,,,,2009
4,3,2009-04-26,12:00:00,,,,,2009
5,4,2009-05-10,12:00:00,,,,,2009
6,6,2009-05-24,12:00:00,,,,,2009
7,5,2009-06-07,12:00:00,,,,,2009
8,9,2009-06-21,12:00:00,,,,,2009
9,20,2009-07-12,12:00:00,,,,,2009
10,11,2009-07-26,12:00:00,,,,,2009
11,12,2009-08-23,12:00:00,,,,,2009
12,13,2009-08-30,12:00:00,,,,,2009
13,14,2009-09-13,12:00:00,,,,,2009
14,15,2009-09-27,12:00:00,,,,,2009
15,22,2009-10-04,05:00:00,,,,,2009
16,18,2009-10-18,16:00:00,,,,,2009
17,24,2009-11-01,11:00:00,,,,,2009
1,1,2008-03-16,04:30:00,,,,,2008
2,2,2008-03-23,07:00:00,,,,,2008
3,3,2008-04-06,11:30:00,,,,,2008
4,4,2008-04-27,12:00:00,,,,,2008
5,5,2008-05-11,12:00:00,,,,,2008
6,6,2008-05-25,12:00:00,,,,,2008
7,7,2008-06-08,17:00:00,,,,,2008
8,8,2008-06-22,12:00:00,,,,,2008
9,9,2008-07-06,12:00:00,,,,,2008
10,10,2008-07-20,12:00:00,,,,,2008
11,11,2008-08-03,12:00:00,,,,,2008
12,12,2008-08-24,12:00:00,,,,,2008
13,13,2008-09-07,12:00:00,,,,,2008
14,14,2008-09-14,12:00:00,,,,,2008
15,15,2008-09-28,12:00:00,,,,,2008
16,16,2008-10-12,04:30:00,,,,,2008
17,17,2008-10-19,07:00:00,,,,,2008
18,18,2008-11-02,17:00:00,,,,,2008
1,1,2007-03-18,03:00:00,,,,,2007
2,2,2007-04-08,07:00:00,,,,,2007
3,3,2007-04-15,11:30:00,,,,,2007
4,4,2007-05-13,12:00:00,,,,,2007
5,6,2007-05-27,12:00:00,,,,,2007
6,7,2007-06-10,17:00:00,,,,,2007
7,19,2007-06-17,17:00:00,,,,,2007
8,8,2007-07-01,12:00:00,,,,,2007
9,9,2007-07-08,12:00:00,,,,,2007
10,20,2007-07-22,12:00:00,,,,,2007
11,11,2007-08-05,12:00:00,,,,,2007
