resultId,year,round,driverId,positionText,milliseconds,laps,fastestLapTime,fastestLap,statusId
1,2008,1,1,1,5690616,58,1:27.452,39,1
2,2008,1,2,2,5696094,58,1:27.739,41,1
3,2008,1,3,3,5698779,58,1:28.090,41,1
4,2008,1,4,4,5707797,58,1:28.603,58,1
5,2008,1,5,5,5708630,58,1:27.418,43,1
6,2008,1,6,6,0,57,1:29.639,50,11
7,2008,1,7,7,0,55,1:29.534,54,5
8,2008,1,8,8,0,53,1:27.903,20,5
9,2008,1,9,R,0,47,1:28.753,15,4
10,2008,1,10,R,0,43,1:29.558,23,3
11,2008,1,11,R,0,32,1:30.892,24,7
12,2008,1,12,R,0,30,1:31.384,20,8
13,2008,1,13,R,0,29,1:28.175,23,5
14,2008,1,14,R,0,25,1:29.502,21,4
15,2008,1,15,R,0,19,1:29.310,18,10
16,2008,1,16,R,0,8,1:32.021,8,9
17,2008,1,17,R,0,0,0,0,4
18,2008,1,18,R,0,0,0,0,4
19,2008,1,19,R,0,0,0,0,4
20,2008,1,20,R,0,0,0,0,4
21,2008,1,21,R,0,0,0,0,4
22,2008,1,22,D,0,58,1:28.736,44,2
23,2008,2,8,1,5478555,56,1:35.405,37,1
24,2008,2,9,2,5498125,56,1:35.921,39,1
25,2008,2,5,3,5517005,56,1:35.922,19,1
26,2008,2,15,4,5524387,56,1:36.068,53,1
27,2008,2,1,5,5525103,56,1:35.462,53,1
28,2008,2,2,6,5528388,56,1:35.366,55,1
29,2008,2,17,7,5546685,56,1:36.696,53,1
30,2008,2,4,8,5548596,56,1:36.288,40,1
31,2008,2,14,9,5554775,56,1:36.206,55,1
32,2008,2,18,10,5564769,56,1:35.715,56,1
33,2008,2,12,11,5570757,56,1:36.956,52,1
34,2008,2,21,12,0,55,1:36.962,52,11
35,2008,2,22,13,0,55,1:36.693,55,11
36,2008,2,3,14,0,55,1:36.782,55,11
37,2008,2,19,15,0,55,1:38.171,55,11
38,2008,2,11,16,0,54,1:38.504,53,12
39,2008,2,6,17,0,54,1:37.711,19,12
40,2008,2,20,R,0,39,1:36.870,37,5
41,2008,2,13,R,0,30,1:35.914,15,20
42,2008,2,16,R,0,5,1:40.330,3,9
43,2008,2,10,R,0,1,0,0,4
44,2008,2,7,R,0,0,0,0,20
45,2008,3,13,1,5466970,57,1:33.600,38,1
46,2008,3,8,2,5470309,57,1:33.709,35,1
47,2008,3,9,3,5471968,57,1:33.775,55,1
48,2008,3,2,4,5475379,57,1:33.565,48,1
49,2008,3,5,5,5493759,57,1:33.193,49,1
50,2008,3,15,6,5508284,57,1:34.204,45,1
51,2008,3,17,7,5512443,57,1:34.305,51,1
52,2008,3,3,8,5522859,57,1:34.072,57,1
53,2008,3,10,9,5536470,57,1:34.807,56,1
54,2008,3,4,10,5544151,57,1:35.194,35,1
55,2008,3,22,11,5544832,57,1:34.855,40,1
56,2008,3,21,12,0,56,1:35.057,56,11
57,2008,3,1,13,0,56,1:35.520,25,11
58,2008,3,6,14,0,56,1:35.433,30,11
59,2008,3,7,15,0,56,1:35.333,33,11
60,2008,3,19,16,0,56,1:35.324,45,11
61,2008,3,11,17,0,56,1:35.891,56,11
62,2008,3,14,18,0,56,1:35.351,43,11
63,2008,3,16,19,0,56,1:35.442,55,12
64,2008,3,12,R,0,40,1:35.129,31,6
65,2008,3,18,R,0,19,1:36.125,11,4
66,2008,3,20,R,0,0,0,0,5
67,2008,4,8,1,5899051,66,1:21.670,46,1
68,2008,4,13,2,5902279,66,1:21.801,45,1
69,2008,4,1,3,5903238,66,1:22.017,20,1
70,2008,4,9,4,5904745,66,1:22.106,20,1
71,2008,4,17,5,5934989,66,1:22.564,19,1
72,2008,4,18,6,5952061,66,1:22.353,66,1
73,2008,4,6,7,5957295,66,1:23.549,48,1
74,2008,4,15,8,5958486,66,1:22.758,45,1
75,2008,4,2,9,5962124,66,1:22.519,21,1
76,2008,4,21,10,0,65,1:23.439,40,11
77,2008,4,10,11,0,65,1:23.007,57,11
78,2008,4,14,12,0,65,1:22.842,57,11
79,2008,4,11,13,0,65,1:24.617,34,11
80,2008,4,3,R,0,41,1:23.319,20,5
81,2008,4,4,R,0,34,1:22.683,15,5
82,2008,4,22,R,0,34,1:23.858,21,4
83,2008,4,5,R,0,21,1:22.453,19,3
84,2008,4,19,R,0,8,1:26.864,6,21
85,2008,4,7,R,0,7,1:25.999,6,4
86,2008,4,12,R,0,6,1:25.444,6,4
87,2008,4,16,R,0,0,0,0,4
88,2008,4,20,R,0,0,0,0,4
89,2008,5,13,1,5209451,58,1:26.666,16,1
90,2008,5,1,2,5213230,58,1:26.529,31,1
91,2008,5,8,3,5213722,58,1:26.506,20,1
92,2008,5,9,4,5231396,58,1:26.780,17,1
93,2008,5,2,5,5248192,58,1:27.219,20,1
